amod(accounts-2, descriptive-1)
det(mechanism-2, the-1)
root(ROOT-0, mechanism-2)
nsubj(decides-4, that-3)
rcmod(mechanism-2, decides-4)
det(rule-6, what-5)
nsubjpass(specified-13, rule-6)
aux(use-8, to-7)
infmod(rule-6, use-8)
aux(specified-13, has-9)
neg(specified-13, not-10)
advmod(specified-13, yet-11)
auxpass(specified-13, been-12)
ccomp(decides-4, specified-13)
punct(mechanism-2, ;-14)
nsubjpass(described-17, it-15)
auxpass(described-17, is-16)
parataxis(mechanism-2, described-17)
advmod(described-17, instead-18)
prep(described-17, with-19)
pobj(with-19, lists-20)
prep(lists-20, of-21)
punct(of-21, ``-22)
ccomp(estimated-29, triggering-23)
dobj(triggering-23, conditions-24)
punct(estimated-29, ,-25)
punct(estimated-29, ''-26)
nsubjpass(estimated-29, which-27)
auxpass(estimated-29, are-28)
pcomp(of-21, estimated-29)
prep(estimated-29, from-30)
pobj(from-30, data-31)
prep(data-31, like-32)
pobj(like-32, parameters-33)

nn(CITATION-4, brandstatter-1)
nn(CITATION-4, et-2)
nn(CITATION-4, al-3)
nsubj(presented-5, CITATION-4)
root(ROOT-0, presented-5)
det(figure-7, a-6)
dobj(presented-5, figure-7)
aux(show-9, to-8)
infmod(figure-7, show-9)
dep(show-9, that-10)
det(priority-12, the-11)
dep(that-10, priority-12)
nsubj(accurate-16, heuristic-13)
cop(accurate-16, is-14)
neg(accurate-16, not-15)
rcmod(priority-12, accurate-16)
advmod(expected-18, when-17)
advcl(accurate-16, expected-18)
nn(evs-20, values-19)
nsubj(differ-21, evs-20)
ccomp(expected-18, differ-21)
punct(differ-21, ,-22)
nsubj(led-24, which-23)
ccomp(differ-21, led-24)
nsubj(suppose-27, them-25)
aux(suppose-27, to-26)
xcomp(led-24, suppose-27)
mark(are-31, that-28)
num(strategies-30, two-29)
nsubj(are-31, strategies-30)
ccomp(suppose-27, are-31)
prep(are-31, at-32)
pobj(at-32, work-33)
punct(priority-12, ,-34)
appos(priority-12, one-35)
prep(one-35, for-36)
punct(choices-40, ``-37)
amod(choices-40, easy-38)
punct(choices-40, ''-39)
pobj(for-36, choices-40)
nsubj(differ-42, that-41)
rcmod(choices-40, differ-42)
prep(differ-42, in-43)
pobj(in-43, ev-44)
cc(ev-44, and-45)
conj(ev-44, one-46)
prep(differ-42, for-47)
punct(choices-51, ``-48)
amod(choices-51, harder-49)
punct(choices-51, ''-50)
pobj(for-47, choices-51)
advmod(equal-56, where-52)
nsubj(equal-56, evs-53)
cop(equal-56, are-54)
advmod(equal-56, nearly-55)
advcl(choices-51, equal-56)

advmod(noted-5, however-1)
punct(noted-5, ,-2)
nn(CITATION-4, birnbaum-3)
nsubj(noted-5, CITATION-4)
root(ROOT-0, noted-5)
mark(been-15, that-6)
nn(ratios-8, ev-7)
nsubj(been-15, ratios-8)
prep(ratios-8, in-9)
nn(CITATION-13, birnbaum-10)
cc(birnbaum-10, and-11)
conj(birnbaum-10, navarrete-12)
pobj(in-9, CITATION-13)
aux(been-15, had-14)
ccomp(noted-5, been-15)
prep(been-15, inside-16)
det(region-18, the-17)
pobj(inside-16, region-18)
advmod(supposed-22, where-19)
nsubjpass(supposed-22, ph-20)
auxpass(supposed-22, is-21)
rcmod(region-18, supposed-22)
aux(apply-24, to-23)
xcomp(supposed-22, apply-24)
punct(noted-5, ;-25)
dep(noted-5, in-26)
det(study-28, that-27)
pobj(in-26, study-28)
punct(in-26, ,-29)
det(priority-31, the-30)
nsubj(,-29, priority-31)
nsubj(failed-33, heuristic-32)
rcmod(priority-31, failed-33)
aux(reproduce-35, to-34)
xcomp(failed-33, reproduce-35)
advmod(half-37, even-36)
dobj(reproduce-35, half-37)
prep(half-37, of-38)
det(choices-41, the-39)
amod(choices-41, modal-40)
pobj(of-38, choices-41)
advmod(reproduce-35, correctly-42)

nsubj(accurate-4, ph-1)
cop(accurate-4, was-2)
neg(accurate-4, not-3)
root(ROOT-0, accurate-4)
prep(accurate-4, for-5)
amod(choices-7, such-6)
pobj(for-5, choices-7)
punct(accurate-4, ,-8)
advmod(brandstatter-10, so-9)
dep(accurate-4, brandstatter-10)
punct(brandstatter-10, ,-11)
nn(CITATION-14, et-12)
nn(CITATION-14, al-13)
nsubj(theorized-15, CITATION-14)
conj(brandstatter-10, theorized-15)
mark(use-18, that-16)
nsubj(use-18, people-17)
ccomp(theorized-15, use-18)
det(toting-21, a-19)
punct(toting-21, ``-20)
dobj(use-18, toting-21)
prt(toting-21, up-22)
punct(toting-21, ''-23)
dep(toting-21, heuristic-24)
prep(heuristic-24, for-25)
pobj(for-25, choices-26)
prep(had-31, in-27)
pobj(in-27, which-28)
num(branches-30, two-29)
nsubj(had-31, branches-30)
rcmod(choices-26, had-31)
det(probability-34, the-32)
amod(probability-34, same-33)
dobj(had-31, probability-34)

det(arguments-2, the-1)
nsubj(provide-10, arguments-2)
prep(arguments-2, of-3)
nn(CITATION-7, brandstatter-4)
nn(CITATION-7, et-5)
nn(CITATION-7, al-6)
pobj(of-3, CITATION-7)
aux(provide-10, might-8)
advmod(provide-10, also-9)
root(ROOT-0, provide-10)
dobj(provide-10, excuses-11)
prep(excuses-11, for-12)
amod(failures-14, previous-13)
pobj(for-12, failures-14)
prep(failures-14, of-15)
pobj(of-15, cpt-16)
advmod(well-18, as-17)
advmod(provide-10, well-18)

prep(use-11, in-1)
pobj(in-1, addition-2)
punct(use-11, ,-3)
prep(use-11, unlike-4)
amod(tests-6, previous-5)
pobj(unlike-4, tests-6)
punct(use-11, ,-7)
det(tests-10, the-8)
amod(tests-10, new-9)
nsubj(use-11, tests-10)
root(ROOT-0, use-11)
dobj(use-11, shifts-12)
prep(shifts-12, in-13)
amod(value-15, expected-14)
pobj(in-13, value-15)
cc(use-11, and-16)
conj(use-11, expected-17)
nsubj(help-21, utility-18)
aux(help-21, to-19)
punct(help-21, ``-20)
xcomp(expected-17, help-21)
punct(help-21, ''-22)
dobj(help-21, predictions-23)
prep(predictions-23, of-24)
pobj(of-24, ph-25)
cc(ph-25, and-26)
conj(ph-25, cpt-27)

prep(is-5, at-1)
pobj(at-1, present-2)
punct(is-5, ,-3)
expl(is-5, there-4)
root(ROOT-0, is-5)
cc(is-5, but-6)
amod(evidence-8, indirect-7)
conj(is-5, evidence-8)
prep(evidence-8, for-9)
det(idea-11, this-10)
pobj(for-9, idea-11)

nsubjpass(assumed-10, feelings-1)
prep(feelings-1, of-2)
pobj(of-2, anger-3)
prep(feelings-1, in-4)
pobj(in-4, response-5)
prep(response-5, to-6)
nn(violations-8, norm-7)
pobj(to-6, violations-8)
auxpass(assumed-10, are-9)
root(ROOT-0, assumed-10)
aux(motivate-12, to-11)
xcomp(assumed-10, motivate-12)
amod(sanctions-14, third-party-13)
dobj(motivate-12, sanctions-14)
punct(assumed-10, ,-15)
advmod(is-18, yet-16)
expl(is-18, there-17)
ccomp(assumed-10, is-18)
advmod(sparse-20, only-19)
amod(support-23, sparse-20)
cc(sparse-20, and-21)
conj(sparse-20, indirect-22)
nsubj(is-18, support-23)
prep(support-23, for-24)
det(idea-26, this-25)
pobj(for-24, idea-26)

det(drawbacks-3, The-1)
amod(drawbacks-3, main-2)
nsubj(are-7, drawbacks-3)
prep(drawbacks-3, of-4)
det(assays-6, these-5)
pobj(of-4, assays-6)
root(ROOT-0, are-7)
mark(carried-13, that-8)
nsubjpass(carried-13, they-9)
auxpass(carried-13, are-10)
advmod(carried-13, currently-11)
advmod(carried-13, only-12)
ccomp(are-7, carried-13)
prt(carried-13, out-14)
prep(carried-13, by-15)
det(handful-17, a-16)
pobj(by-15, handful-17)
prep(handful-17, of-18)
amod(laboratories-20, specialized-19)
pobj(of-18, laboratories-20)
advmod(laboratories-20, worldwide-21)
punct(carried-13, ,-22)
cc(carried-13, and-23)
mark(takes-29, that-24)
det(procedure-27, the-25)
amod(procedure-27, overall-26)
nsubj(takes-29, procedure-27)
advmod(takes-29, typically-28)
conj(carried-13, takes-29)
amod(weeks-31, several-30)
tmod(takes-29, weeks-31)
punct(are-7, .-32)

det(rule-2, This-1)
nsubj(has-3, rule-2)
root(ROOT-0, has-3)
det(specificity-5, a-4)
dobj(has-3, specificity-5)
prep(specificity-5, of-6)
mwe(than-8, more-7)
quantmod(0.9-9, than-8)
pobj(of-6, 0.9-9)
punct(has-3, ,-10)
cc(has-3, but-11)
advmod(low-14, only-12)
det(low-14, a-13)
conj(has-3, low-14)
prep(low-14, to-15)
amod(sensitivity-17, moderate-16)
pobj(to-15, sensitivity-17)
prep(sensitivity-17, of-18)
quantmod(0.4-20, about-19)
num(0.6-21, 0.4-20)
pobj(of-18, 0.6-21)
punct(low-14, ,-22)
prep(low-14, depending-23)
pcomp(depending-23, on-24)
det(data-27, the-25)
nn(data-27, test-26)
pobj(on-24, data-27)
punct(data-27, ,-28)
nsubj(satisfactory-32, which-29)
cop(satisfactory-32, is-30)
neg(satisfactory-32, not-31)
rcmod(data-27, satisfactory-32)
prep(satisfactory-32, for-33)
amod(application-36, routine-34)
amod(application-36, clinical-35)
pobj(for-33, application-36)
punct(has-3, .-37)

advmod(fall-5, Still-1)
punct(fall-5, ,-2)
nn(accuracies-4, prediction-3)
nsubj(fall-5, accuracies-4)
root(ROOT-0, fall-5)
advmod(fall-5, short-6)
prep(short-6, of-7)
nsubj(reasonable-10, what-8)
cop(reasonable-10, seems-9)
pcomp(of-7, reasonable-10)
prep(reasonable-10, for-11)
amod(use-14, regular-12)
amod(use-14, clinical-13)
pobj(for-11, use-14)
amod(use-14, CITATION-15)
punct(fall-5, .-16)

det(approaches-2, these-1)
nsubj(differ-4, approaches-2)
advmod(differ-4, thus-3)
root(ROOT-0, differ-4)
prep(differ-4, from-5)
nn(framing-7, message-6)
pobj(from-5, framing-7)
punct(framing-7, ,-8)
nsubj(focuses-10, which-9)
rcmod(framing-7, focuses-10)
prep(focuses-10, on-11)
dep(on-11, how-12)
det(test-14, the-13)
dep(how-12, test-14)
nsubjpass(described-17, outcomes-15)
auxpass(described-17, are-16)
rcmod(test-14, described-17)
cc(described-17, and-18)
conj(described-17, manipulates-19)
nn(framing-23, gain-20)
cc(gain-20, and-21)
conj(gain-20, loss-22)
dobj(manipulates-19, framing-23)

advmod(restricted-6, however-1)
det(demonstrations-3, these-2)
nsubj(restricted-6, demonstrations-3)
aux(restricted-6, have-4)
cop(restricted-6, been-5)
root(ROOT-0, restricted-6)
advmod(to-8, primarily-7)
prep(restricted-6, to-8)
nn(surveys-10, laboratory-9)
pobj(to-8, surveys-10)
prep(surveys-10, in-11)
pobj(in-11, which-12)
dep(in-11, task-13)
prep(task-13, of-14)
pcomp(of-14, recalling-15)
nsubj(making-18, examples-16)
advmod(making-18, then-17)
ccomp(recalling-15, making-18)
det(assessment-21, an-19)
amod(assessment-21, overall-20)
nsubj(artificial-25, assessment-21)
aux(artificial-25, may-22)
cop(artificial-25, seem-23)
advmod(artificial-25, somewhat-24)
ccomp(making-18, artificial-25)
prep(artificial-25, to-26)
pobj(to-26, participants-27)
cc(participants-27, and-28)
det(responses-30, the-29)
conj(participants-27, responses-30)
prep(responses-30, of-31)
amod(consequence-33, little-32)
pobj(of-31, consequence-33)

advmod(important-2, more-1)
amod(participants-4, important-2)
amod(participants-4, most-3)
nsubj(had-9, participants-4)
prep(participants-4, in-5)
amod(studies-7, previous-6)
pobj(in-5, studies-7)
advmod(had-9, presumably-8)
root(ROOT-0, had-9)
amod(experience-12, little-10)
amod(experience-12, prior-11)
dobj(had-9, experience-12)
prep(had-9, with-13)
det(scale-17, the-14)
amod(scale-17, particular-15)
nn(scale-17, likert-16)
pobj(with-13, scale-17)
nsubj(served-19, that-18)
rcmod(scale-17, served-19)
prep(served-19, as-20)
det(measure-23, the-21)
amod(measure-23, dependent-22)
pobj(as-20, measure-23)
dep(rated-30, e-24)
nsubj(rated-30, g-25)
advmod(had-27, most-26)
aux(rated-30, had-27)
neg(rated-30, never-28)
advmod(rated-30, before-29)
partmod(measure-23, rated-30)
poss(childhood-32, their-31)
dobj(rated-30, childhood-32)
cc(childhood-32, or-33)
amod(transportation-35, public-34)
conj(childhood-32, transportation-35)
prep(rated-30, on-36)
det(scale-41, a-37)
nn(scale-41, NUMBER-38)
punct(scale-41, --39)
nn(scale-41, point-40)
pobj(on-36, scale-41)

prep(begun-11, despite-1)
det(prevalence-3, the-2)
pobj(despite-1, prevalence-3)
prep(prevalence-3, of-4)
amod(researchers-7, anchoring-5)
nn(researchers-7, effects-6)
pobj(of-4, researchers-7)
aux(begun-11, have-8)
advmod(recently-10, only-9)
advmod(begun-11, recently-10)
root(ROOT-0, begun-11)
aux(investigate-13, to-12)
xcomp(begun-11, investigate-13)
det(factors-16, the-14)
amod(factors-16, underlying-15)
dobj(investigate-13, factors-16)
amod(factors-16, responsible-17)
prep(responsible-17, for-18)
dep(for-18, how-19)
cc(how-19, and-20)
conj(how-19, in-21)
det(ways-23, what-22)
dobj(susceptible-27, ways-23)
det(person-25, a-24)
nsubj(susceptible-27, person-25)
cop(susceptible-27, is-26)
pcomp(in-21, susceptible-27)
prep(susceptible-27, to-28)
pobj(to-28, them-29)

mark(agreed-5, while-1)
amod(research-3, most-2)
nsubj(agreed-5, research-3)
aux(agreed-5, has-4)
root(ROOT-0, agreed-5)
prep(agreed-5, on-6)
det(nature-8, the-7)
pobj(on-6, nature-8)
prep(nature-8, of-9)
det(factors-13, the-10)
amod(factors-13, first-11)
num(factors-13, four-12)
pobj(of-9, factors-13)
det(nature-15, the-14)
nsubj(controversial-22, nature-15)
prep(nature-15, of-16)
det(factor-19, the-17)
amod(factor-19, fifth-18)
pobj(of-16, factor-19)
aux(controversial-22, has-20)
cop(controversial-22, been-21)
rcmod(factors-13, controversial-22)
det(controversy-24, a-23)
dobj(controversial-22, controversy-24)
advmod(controversy-24, predominately-25)
partmod(controversy-24, based-26)
prep(based-26, upon-27)
mark(used-51, whether-28)
det(approach-31, a-29)
amod(approach-31, lexical-30)
nsubjpass(used-51, approach-31)
partmod(approach-31, derived-32)
prep(derived-32, from-33)
nn(frequency-35, language-34)
pobj(from-33, frequency-35)
prep(derived-32, within-36)
det(lexicon-38, the-37)
pobj(within-36, lexicon-38)
prep(lexicon-38, of-39)
det(CITATION-43, a-40)
amod(CITATION-43, particular-41)
nn(CITATION-43, language-42)
pobj(of-39, CITATION-43)
cc(CITATION-43, or-44)
det(CITATION-48, a-45)
nn(CITATION-48, questionnaire-46)
nn(CITATION-48, approach-47)
conj(CITATION-43, CITATION-48)
aux(used-51, should-49)
auxpass(used-51, be-50)
pcomp(upon-27, used-51)
aux(measure-53, to-52)
xcomp(used-51, measure-53)
dobj(measure-53, it-54)

advmod(criticized-6, however-1)
punct(criticized-6, ,-2)
det(tests-4, those-3)
nsubjpass(criticized-6, tests-4)
auxpass(criticized-6, were-5)
root(ROOT-0, criticized-6)
mark(had-9, because-7)
nsubj(had-9, they-8)
advcl(criticized-6, had-9)
dobj(had-9, characteristics-10)
nsubj(trigger-14, that-11)
aux(trigger-14, might-12)
punct(trigger-14, ``-13)
rcmod(characteristics-10, trigger-14)
punct(trigger-14, ''-15)
dobj(trigger-14, use-16)
prep(use-16, of-17)
amod(heuristics-19, other-18)
pobj(of-17, heuristics-19)
punct(criticized-6, .-20)

det(mechanism-2, the-1)
root(ROOT-0, mechanism-2)
nsubj(decides-4, that-3)
rcmod(mechanism-2, decides-4)
det(rule-6, what-5)
nsubjpass(specified-13, rule-6)
aux(use-8, to-7)
infmod(rule-6, use-8)
aux(specified-13, has-9)
neg(specified-13, not-10)
advmod(specified-13, yet-11)
auxpass(specified-13, been-12)
ccomp(decides-4, specified-13)
punct(mechanism-2, ;-14)
nsubjpass(described-17, it-15)
auxpass(described-17, is-16)
parataxis(mechanism-2, described-17)
advmod(described-17, instead-18)
prep(described-17, with-19)
pobj(with-19, lists-20)
prep(lists-20, of-21)
punct(of-21, ``-22)
ccomp(estimated-29, triggering-23)
dobj(triggering-23, conditions-24)
punct(estimated-29, ,-25)
punct(estimated-29, ''-26)
nsubjpass(estimated-29, which-27)
auxpass(estimated-29, are-28)
pcomp(of-21, estimated-29)
prep(estimated-29, from-30)
pobj(from-30, data-31)
prep(data-31, like-32)
pobj(like-32, parameters-33)

nn(CITATION-4, brandstatter-1)
nn(CITATION-4, et-2)
nn(CITATION-4, al-3)
nsubj(presented-5, CITATION-4)
root(ROOT-0, presented-5)
det(figure-7, a-6)
dobj(presented-5, figure-7)
aux(show-9, to-8)
infmod(figure-7, show-9)
dep(show-9, that-10)
det(priority-12, the-11)
dep(that-10, priority-12)
nsubj(accurate-16, heuristic-13)
cop(accurate-16, is-14)
neg(accurate-16, not-15)
rcmod(priority-12, accurate-16)
advmod(expected-18, when-17)
advcl(accurate-16, expected-18)
nn(evs-20, values-19)
nsubj(differ-21, evs-20)
ccomp(expected-18, differ-21)
punct(differ-21, ,-22)
nsubj(led-24, which-23)
ccomp(differ-21, led-24)
nsubj(suppose-27, them-25)
aux(suppose-27, to-26)
xcomp(led-24, suppose-27)
mark(are-31, that-28)
num(strategies-30, two-29)
nsubj(are-31, strategies-30)
ccomp(suppose-27, are-31)
prep(are-31, at-32)
pobj(at-32, work-33)
punct(priority-12, ,-34)
appos(priority-12, one-35)
prep(one-35, for-36)
punct(choices-40, ``-37)
amod(choices-40, easy-38)
punct(choices-40, ''-39)
pobj(for-36, choices-40)
nsubj(differ-42, that-41)
rcmod(choices-40, differ-42)
prep(differ-42, in-43)
pobj(in-43, ev-44)
cc(ev-44, and-45)
conj(ev-44, one-46)
prep(differ-42, for-47)
punct(choices-51, ``-48)
amod(choices-51, harder-49)
punct(choices-51, ''-50)
pobj(for-47, choices-51)
advmod(equal-56, where-52)
nsubj(equal-56, evs-53)
cop(equal-56, are-54)
advmod(equal-56, nearly-55)
advcl(choices-51, equal-56)

advmod(noted-5, however-1)
punct(noted-5, ,-2)
nn(CITATION-4, birnbaum-3)
nsubj(noted-5, CITATION-4)
root(ROOT-0, noted-5)
mark(been-15, that-6)
nn(ratios-8, ev-7)
nsubj(been-15, ratios-8)
prep(ratios-8, in-9)
nn(CITATION-13, birnbaum-10)
cc(birnbaum-10, and-11)
conj(birnbaum-10, navarrete-12)
pobj(in-9, CITATION-13)
aux(been-15, had-14)
ccomp(noted-5, been-15)
prep(been-15, inside-16)
det(region-18, the-17)
pobj(inside-16, region-18)
advmod(supposed-22, where-19)
nsubjpass(supposed-22, ph-20)
auxpass(supposed-22, is-21)
rcmod(region-18, supposed-22)
aux(apply-24, to-23)
xcomp(supposed-22, apply-24)
punct(noted-5, ;-25)
dep(noted-5, in-26)
det(study-28, that-27)
pobj(in-26, study-28)
punct(in-26, ,-29)
det(priority-31, the-30)
nsubj(,-29, priority-31)
nsubj(failed-33, heuristic-32)
rcmod(priority-31, failed-33)
aux(reproduce-35, to-34)
xcomp(failed-33, reproduce-35)
advmod(half-37, even-36)
dobj(reproduce-35, half-37)
prep(half-37, of-38)
det(choices-41, the-39)
amod(choices-41, modal-40)
pobj(of-38, choices-41)
advmod(reproduce-35, correctly-42)

nsubj(accurate-4, ph-1)
cop(accurate-4, was-2)
neg(accurate-4, not-3)
root(ROOT-0, accurate-4)
prep(accurate-4, for-5)
amod(choices-7, such-6)
pobj(for-5, choices-7)
punct(accurate-4, ,-8)
advmod(brandstatter-10, so-9)
dep(accurate-4, brandstatter-10)
punct(brandstatter-10, ,-11)
nn(CITATION-14, et-12)
nn(CITATION-14, al-13)
nsubj(theorized-15, CITATION-14)
conj(brandstatter-10, theorized-15)
mark(use-18, that-16)
nsubj(use-18, people-17)
ccomp(theorized-15, use-18)
det(toting-21, a-19)
punct(toting-21, ``-20)
dobj(use-18, toting-21)
prt(toting-21, up-22)
punct(toting-21, ''-23)
dep(toting-21, heuristic-24)
prep(heuristic-24, for-25)
pobj(for-25, choices-26)
prep(had-31, in-27)
pobj(in-27, which-28)
num(branches-30, two-29)
nsubj(had-31, branches-30)
rcmod(choices-26, had-31)
det(probability-34, the-32)
amod(probability-34, same-33)
dobj(had-31, probability-34)

det(arguments-2, the-1)
nsubj(provide-10, arguments-2)
prep(arguments-2, of-3)
nn(CITATION-7, brandstatter-4)
nn(CITATION-7, et-5)
nn(CITATION-7, al-6)
pobj(of-3, CITATION-7)
aux(provide-10, might-8)
advmod(provide-10, also-9)
root(ROOT-0, provide-10)
dobj(provide-10, excuses-11)
prep(excuses-11, for-12)
amod(failures-14, previous-13)
pobj(for-12, failures-14)
prep(failures-14, of-15)
pobj(of-15, cpt-16)
advmod(well-18, as-17)
advmod(provide-10, well-18)

prep(use-11, in-1)
pobj(in-1, addition-2)
punct(use-11, ,-3)
prep(use-11, unlike-4)
amod(tests-6, previous-5)
pobj(unlike-4, tests-6)
punct(use-11, ,-7)
det(tests-10, the-8)
amod(tests-10, new-9)
nsubj(use-11, tests-10)
root(ROOT-0, use-11)
dobj(use-11, shifts-12)
prep(shifts-12, in-13)
amod(value-15, expected-14)
pobj(in-13, value-15)
cc(use-11, and-16)
conj(use-11, expected-17)
nsubj(help-21, utility-18)
aux(help-21, to-19)
punct(help-21, ``-20)
xcomp(expected-17, help-21)
punct(help-21, ''-22)
dobj(help-21, predictions-23)
prep(predictions-23, of-24)
pobj(of-24, ph-25)
cc(ph-25, and-26)
conj(ph-25, cpt-27)

root(ROOT-0, Unlike-1)
nsubj(penalized-3, most-2)
pcomp(Unlike-1, penalized-3)
dobj(penalized-3, maximum-4)
dobj(maximum-4, likelihood-5)
dep(likelihood-5, variants-6)
punct(AIC-8, -LRB--7)
appos(variants-6, AIC-8)
punct(AIC-8, ,-9)
conj(AIC-8, BIC-10)
punct(AIC-8, ,-11)
dep(AIC-8, MDL-12)
punct(AIC-8, -RRB--13)
punct(variants-6, ,-14)
nsubj(depends-17, LoRP-15)
advmod(depends-17, only-16)
rcmod(variants-6, depends-17)
prep(depends-17, on-18)
det(functions-21, the-19)
nn(functions-21, regression-20)
pobj(on-18, functions-21)
cc(functions-21, and-22)
det(function-25, the-23)
nn(function-25, loss-24)
conj(functions-21, function-25)

nsubj(works-2, It-1)
root(ROOT-0, works-2)
prep(works-2, without-3)
det(model-7, a-4)
amod(model-7, stochastic-5)
nn(model-7, noise-6)
pobj(without-3, model-7)
punct(works-2, ,-8)
cc(works-2, and-9)
cop(applicable-12, is-10)
advmod(applicable-12, directly-11)
conj(works-2, applicable-12)
prep(applicable-12, to-13)
det(regressor-16, any-14)
amod(regressor-16, non-parametric-15)
pobj(to-13, regressor-16)
punct(regressor-16, ,-17)
prep(regressor-16, like-18)
pobj(like-18, kNN-19)

det(variants-3, All-1)
nn(variants-3, PML-2)
nsubj(rely-4, variants-3)
root(ROOT-0, rely-4)
prep(rely-4, on-5)
det(model-9, a-6)
amod(model-9, proper-7)
nn(model-9, sampling-8)
pobj(on-5, model-9)
punct(difficult-14, -LRB--10)
nsubj(difficult-14, which-11)
aux(difficult-14, may-12)
cop(difficult-14, be-13)
dep(model-9, difficult-14)
aux(establish-16, to-15)
xcomp(difficult-14, establish-16)
punct(establish-16, -RRB--17)
punct(difficult-14, ,-18)
dep(difficult-14, ignore-19)
punct(do-24, -LRB--20)
cc(do-24, or-21)
advmod(do-24, at-22)
pobj(at-22, least-23)
dep(ignore-19, do-24)
neg(tell-26, not-25)
ccomp(do-24, tell-26)
advmod(incorporate-29, how-27)
aux(incorporate-29, to-28)
xcomp(tell-26, incorporate-29)
punct(incorporate-29, -RRB--30)
det(function-35, a-31)
advmod(given-33, potentially-32)
amod(function-35, given-33)
nn(function-35, loss-34)
dobj(incorporate-29, function-35)
punct(do-24, ,-36)
cc(do-24, and-37)
auxpass(limited-40, are-38)
advmod(limited-40, typically-39)
conj(do-24, limited-40)
prep(limited-40, to-41)
punct(semi-43, -LRB--42)
dep(parametric-45, semi-43)
punct(semi-43, -RRB--44)
amod(models-46, parametric-45)
pobj(to-41, models-46)

prep(works-12, Unlike-1)
pobj(Unlike-1, PML-2)
punct(works-12, ,-3)
poss(works-12, our-4)
amod(works-12, new-5)
nn(works-12, Loss-6)
advmod(works-12, Rank-7)
nsubj(works-12, Principle-8)
punct(LoRP-10, -LRB--9)
appos(Principle-8, LoRP-10)
punct(LoRP-10, -RRB--11)
root(ROOT-0, works-12)
prep(works-12, without-13)
det(model-20, a-14)
nn(model-20, noise-15)
punct(model-20, -LRB--16)
nn(model-20, stochastic-17)
nn(model-20, sampling-18)
punct(model-20, -RRB--19)
pobj(without-13, model-20)
punct(works-12, ,-21)
cc(works-12, and-22)
cop(applicable-25, is-23)
advmod(applicable-25, directly-24)
conj(works-12, applicable-25)
prep(applicable-25, to-26)
det(regressor-29, any-27)
amod(regressor-29, non-parametric-28)
pobj(to-26, regressor-29)
punct(regressor-29, ,-30)
prep(regressor-29, like-31)
pobj(like-31, kNN-32)

root(ROOT-0, While-1)
pobj(While-1, differences-2)
mark(define-5, in-3)
nsubj(define-5, morphology-4)
dep(differences-2, define-5)
amod(types-8, neuronal-6)
nn(types-8, cell-7)
dobj(define-5, types-8)
cc(define-5, and-9)
aux(underlie-11, may-10)
conj(define-5, underlie-11)
amod(disorders-13, neurological-12)
dobj(underlie-11, disorders-13)
punct(disorders-13, ,-14)
advmod(little-16, very-15)
nsubjpass(known-18, little-16)
auxpass(known-18, is-17)
rcmod(disorders-13, known-18)
prep(known-18, about-19)
pobj(about-19, influences-20)
prep(influences-20, of-21)
amod(gating-25, stochastic-22)
nn(gating-25, ion-23)
nn(gating-25, channel-24)
pobj(of-21, gating-25)
prep(gating-25, in-26)
pobj(in-26, neurons-27)
prep(neurons-27, with-28)
amod(morphology-30, complex-29)
pobj(with-28, morphology-30)
punct(While-1, .-31)

advmod(suggests-32, However-1)
punct(suggests-32, ,-2)
mark(sufficient-25, while-3)
det(assumption-5, the-4)
nsubj(sufficient-25, assumption-5)
mark(treated-18, that-6)
nsubjpass(treated-18, transitions-7)
prep(transitions-7, between-8)
amod(states-12, open-9)
cc(open-9, and-10)
conj(open-9, closed-11)
pobj(between-8, states-12)
prep(states-12, of-13)
nn(channels-15, ion-14)
pobj(of-13, channels-15)
aux(treated-18, can-16)
auxpass(treated-18, be-17)
ccomp(assumption-5, treated-18)
prep(treated-18, as-19)
det(process-22, a-20)
amod(process-22, deterministic-21)
pobj(as-19, process-22)
aux(sufficient-25, may-23)
cop(sufficient-25, be-24)
advcl(suggests-32, sufficient-25)
prep(sufficient-25, for-26)
det(purposes-28, some-27)
pobj(for-26, purposes-28)
punct(suggests-32, ,-29)
amod(evidence-31, recent-30)
nsubj(suggests-32, evidence-31)
root(ROOT-0, suggests-32)
mark(influence-44, that-33)
amod(transitions-35, stochastic-34)
nsubj(influence-44, transitions-35)
prep(transitions-35, between-36)
det(states-38, the-37)
pobj(between-36, states-38)
prep(states-38, of-39)
amod(channels-42, individual-40)
nn(channels-42, ion-41)
pobj(of-39, channels-42)
aux(influence-44, could-43)
ccomp(suggests-32, influence-44)
dobj(influence-44, computations-45)
partmod(computations-45, carried-46)
prt(carried-46, out-47)
prep(carried-46, by-48)
nn(CITATION-51, neurons-49)
nn(CITATION-51, CITATION-50)
pobj(by-48, CITATION-51)
punct(suggests-32, .-52)

mark(suggests-4, While-1)
nn(theory-3, cable-2)
nsubj(suggests-4, theory-3)
advcl(know-26, suggests-4)
mark(important-13, that-5)
nsubj(important-13, fluctuations-6)
prep(fluctuations-6, of-7)
det(kind-9, this-8)
pobj(of-7, kind-9)
aux(important-13, might-10)
cop(important-13, be-11)
advmod(important-13, particularly-12)
ccomp(suggests-4, important-13)
prep(important-13, in-14)
amod(structures-16, fine-15)
pobj(in-14, structures-16)
mwe(as-18, such-17)
prep(structures-16, as-18)
pobj(as-18, axons-19)
